name,ring,quadrant,isNew,description,move,tags
Microservices,Adopt,Techniques,FALSE,,,architecture
Micro Frontends,Assess,Techniques,TRUE,,,"architecture, frontend"
Monolith,Hold,Techniques,FALSE,,OUT,architecture
Contract testing,Hold,Techniques,TRUE,,,"slx-innovation, testing"
Zero-knowledge architecture,Hold,Techniques,TRUE,,,slx-innovation
DORA metric,Assess,Techniques,TRUE,,,productivity
RESTful APIs,Adopt,Techniques,FALSE,,,
Agile / Scrum / Kanban,Adopt,Techniques,FALSE,,,
Test Driven Development (TDD),Hold,Techniques,TRUE,,,
Domain Driven Development (TDD),Adopt,Techniques,FALSE,,,
Data mesh,Hold,Techniques,TRUE,,,"big-data, architecture"
Lakehouse Architecture,Trial,Techniques,TRUE,,,"big-data, architecture"
Medallion Architecture,Trial,Techniques,TRUE,,,"big-data, architecture"
Event Sourcing,Assess,Techniques,TRUE,,,
Streaming,Assess,Techniques,TRUE,,,
Event Driven,Adopt,Techniques,FALSE,,,
Chaos Engineering,Assess,Techniques,TRUE,,,"slx-innovation, testing"
Preview Environment,Hold,Techniques,TRUE,,,"slx-innovation, testing"
InnerSource,Hold,Techniques,TRUE,,,source-control
Infrastructure as a Code,Adopt,Techniques,FALSE,,,
Backend for frontends (BFF),Hold,Techniques,TRUE,,,"architecture, frontend"
Containerization,Hold,Techniques,TRUE,,,architecture
SAGA Pattern,Hold,Techniques,TRUE,,,
Platform as a Service,Adopt,Techniques,FALSE,,,architecture
Serverless Architecture,Adopt,Techniques,FALSE,,,architecture
Synthetic Data,Trial,Techniques,FALSE,,,
gRPC,Hold,languages-and-frameworks,TRUE,,,slx-innovation
Functional Language,Hold,languages-and-frameworks,TRUE,,,slx-innovation
Go Programming Language,Hold,languages-and-frameworks,TRUE,,,slx-innovation
Autify,Hold,Platforms,TRUE,,,"slx-innovation, testing"
Keyfactor,Hold,Tools,TRUE,,,mckesson
VeraCode,Hold,Tools,TRUE,,,mckesson
Snowflake,Hold,Platforms,TRUE,,,"mckesson, big-data"
MongoDB,Hold,Platforms,TRUE,,,
"LLM (Dolly, ChatGPT, etc)",Assess,Tools,TRUE,,,"slx-innovation, ai-ml"
Blazor,Trial,Platforms,TRUE,,IN,"slx-innovation, frontend"
Dev Home,Hold,Tools,TRUE,,,slx-innovation
Cloud Development Environment,Hold,Techniques,TRUE,,,
Hangfire,Hold,Platforms,TRUE,,,slx-innovation
Azure Container Apps,Assess,Platforms,TRUE,,IN,slx-innovation
Azure Load Testing (JMeter),Assess,Platforms,TRUE,,IN,slx-innovation
GraphQL,Hold,languages-and-frameworks,TRUE,,,slx-innovation
Playwright,Hold,languages-and-frameworks,TRUE,,,slx-innovation
Looker,Hold,Platforms,TRUE,,,"slx-innovation, data-visualization"
ThoughtSpot,Assess,Platforms,TRUE,,IN,"slx-innovation, data-visualization"
GitHub Advanced Security (for ADO),Assess,Tools,TRUE,,IN,"slx-innovation, security"
C#,Adopt,languages-and-frameworks,FALSE,,,
JavaScript,Adopt,languages-and-frameworks,FALSE,,,frontend
TypeScript,Assess,languages-and-frameworks,FALSE,,,frontend
Python,Trial,languages-and-frameworks,TRUE,,IN,
jQuery,Assess,languages-and-frameworks,FALSE,,OUT,frontend
YAML,Adopt,languages-and-frameworks,FALSE,,,
AngularJS,Assess,languages-and-frameworks,FALSE,,OUT,frontend
Angular 2+,Adopt,languages-and-frameworks,FALSE,,,frontend
Visual Studio,Adopt,Tools,FALSE,,,
Visual Studio Code,Adopt,Tools,FALSE,,,
LinqPad,Adopt,Tools,FALSE,,,
Postman,Adopt,Tools,FALSE,,,
ReadyAPI,Trial,Tools,TRUE,,,
GoAnywhere MFT,Adopt,Tools,FALSE,,,
ASP.NET,Adopt,languages-and-frameworks,FALSE,,,
ASP.NET Core,Adopt,languages-and-frameworks,FALSE,,,
.NET,Adopt,languages-and-frameworks,FALSE,,,
Delta (Lakehouse),Trial,languages-and-frameworks,TRUE,,IN,big-data
AutoML,Hold,Techniques,TRUE,,,ai-ml
MLOps,Hold,Techniques,TRUE,,,ai-ml
DevSecOps,Adopt,Techniques,FALSE,,,
Stacked Pull Requests,Assess,Techniques,TRUE,,,
Power BI,Hold,Tools,FALSE,,OUT,data-visualization
Launch Darkly,Adopt,Tools,FALSE,,,
Azure DevOps,Adopt,Tools,FALSE,,,source-control
Azure DevOps Boards,Adopt,Tools,FALSE,,,
GitHub,Assess,Tools,TRUE,,IN,source-control
Git,Adopt,Tools,FALSE,,,source-control
GitHub Copilot,Assess,Tools,TRUE,,IN,ai-ml
Terraform,Hold,Tools,TRUE,,,
